dt_iso,lat,lon,temp,dew_point,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,weather_description,Dhi,Dni,Ghi
2011-07-01 00:00:00+10:00,-32.951195,151.715443,283.78,279.54,1032,75,3.33,180,,75,broken clouds,0,0,0
2011-07-01 01:00:00+10:00,-32.951195,151.715443,283.93,279.68,1032,75,3.55,181,,80,broken clouds,0,0,0
2011-07-01 02:00:00+10:00,-32.951195,151.715443,285.68,281.95,1032,78,3.59,182,,59,broken clouds,0,0,0
2011-07-01 03:00:00+10:00,-32.951195,151.715443,284.06,282.15,1031,88,5.7,210,,66,broken clouds,0,0,0
2011-07-01 04:00:00+10:00,-32.951195,151.715443,284.1,282.19,1031,88,5.7,210,,79,broken clouds,0,0,0
2011-07-01 05:00:00+10:00,-32.951195,151.715443,284.99,281.66,1031,80,3.59,186,,59,broken clouds,0,0,0
2011-07-01 06:00:00+10:00,-32.951195,151.715443,283.5,280.39,1031,81,6.2,210,,52,broken clouds,0,0,0
2011-07-01 07:00:00+10:00,-32.951195,151.715443,283.23,280.3,1031,82,6.2,210,,41,scattered clouds,0,0,0
2011-07-01 08:00:00+10:00,-32.951195,151.715443,286.55,282.99,1031,79,2.32,187,,75,broken clouds,21,0,21
2011-07-01 09:00:00+10:00,-32.951195,151.715443,285.18,282.91,1031,86,0.0,0,,40,scattered clouds,109,2,109
2011-07-01 10:00:00+10:00,-32.951195,151.715443,285.62,283.35,1031,86,0.0,0,,40,scattered clouds,95,0,95
2011-07-01 11:00:00+10:00,-32.951195,151.715443,287.19,283.61,1031,79,3.2,170,0.12,66,light rain,161,291,313
2011-07-01 12:00:00+10:00,-32.951195,151.715443,287.99,285.13,1030,83,5.1,200,0.19,54,light rain,67,836,526
2011-07-01 13:00:00+10:00,-32.951195,151.715443,288.34,285.48,1029,83,5.1,200,,67,broken clouds,246,188,350
2011-07-01 14:00:00+10:00,-32.951195,151.715443,288.82,284.61,1028,76,3.78,169,0.12,59,light rain,243,148,313
2011-07-01 15:00:00+10:00,-32.951195,151.715443,287.91,284.87,1028,82,1.0,270,,40,scattered clouds,139,403,294
2011-07-01 16:00:00+10:00,-32.951195,151.715443,287.76,284.72,1028,82,1.0,270,0.17,40,light rain,105,63,124
2011-07-01 17:00:00+10:00,-32.951195,151.715443,287.73,284.32,1028,80,3.84,179,0.16,55,light rain,28,0,28
2011-07-01 18:00:00+10:00,-32.951195,151.715443,285.78,282.61,1028,81,4.6,220,0.12,55,light rain,0,0,0
2011-07-01 19:00:00+10:00,-32.951195,151.715443,285.78,282.97,1028,83,4.6,220,,42,scattered clouds,0,0,0
2011-07-01 20:00:00+10:00,-32.951195,151.715443,286.61,284.66,1028,88,3.15,184,,49,scattered clouds,0,0,0
2011-07-01 21:00:00+10:00,-32.951195,151.715443,285.01,284.39,1028,96,3.1,260,,68,broken clouds,0,0,0
2011-07-01 22:00:00+10:00,-32.951195,151.715443,284.75,284.13,1028,96,3.1,260,0.22,59,light rain,0,0,0
2011-07-01 23:00:00+10:00,-32.951195,151.715443,285.91,283.8,1028,87,2.07,199,0.11,69,light rain,0,0,0
2011-07-02 00:00:00+10:00,-32.951195,151.715443,283.33,282.72,1028,96,3.6,270,,68,broken clouds,0,0,0
2011-07-02 01:00:00+10:00,-32.951195,151.715443,283.19,282.58,1027,96,3.6,270,0.22,73,light rain,0,0,0
2011-07-02 02:00:00+10:00,-32.951195,151.715443,284.78,283.53,1027,92,1.62,229,,61,broken clouds,0,0,0
2011-07-02 03:00:00+10:00,-32.951195,151.715443,282.38,282.08,1027,98,3.1,280,,46,scattered clouds,0,0,0
2011-07-02 04:00:00+10:00,-32.951195,151.715443,282.32,282.02,1026,98,3.1,280,,35,scattered clouds,0,0,0
2011-07-02 05:00:00+10:00,-32.951195,151.715443,284.55,283.46,1026,93,2.62,242,,38,scattered clouds,0,0,0
